"name","is_partner","latitude","longitude"
"Crested Butte XC","0","38.903900","-106.9582"
"Crotched Mountain Resort","1","43.012993","-71.87903"
"Crystal Lake XC","0","41.241501","-76.72390"
"Crystal Mountain","0","49.836800","-119.6309"
"Crystal Mountain","0","46.945900","-121.5802"
"Crystal Mountain","1","44.523788","-86.00089"
"Crystal Mountain XC","0","44.520100","-85.98880"
"Cunninghams Ski Barn XC","0","43.698101","-73.94409"
"Cypress Mountain","0","49.395374","-123.2019"
"Dagmar Ski Resort","0","44.012169","-79.05909"
"Dagmar Ski Resort XC","0","44.002102","-78.99539"
"Dartmouth Skiway","0","43.780884","-72.09635"
"Deer Valley","1","40.620499","-111.4895"
"Devils Elbow","0","44.221645","-78.57426"
"Devils Head Resort","1","43.401600","-89.63670"
"Dexters Inn Norsk XC","0","43.403801","-71.95030"
"Diamond Peak Ski Resort","1","39.249599","-119.9301"
"Discovery","0","46.249229","-113.2393"
"Dodge Ridge","0","38.189896","-119.9571"
"Donner Ski Ranch","0","39.318645","-120.3300"
"Dry Hill","0","43.935375","-75.89714"
"Durango Mountain Resort","1","37.631279","-107.8136"
"Eagle Rock","0","40.924377","-76.10499"
"Eaglecrest","1","58.275566","-134.5144"
"Earl Bales Ski Centre","0","43.752621","-79.43181"
"Eastman XC","0","43.485600","-72.13680"
"Echo Mountain","1","39.685787","-105.3993"
"Edelweiss Valley","0","45.648743","-75.85272"
"Eldora","0","39.937317","-105.5831"
"Elk Mountain","0","41.723827","-75.55417"
"Elk Ridge","0","35.215439","-112.1932"
"Elm Creek","0","45.138218","-93.43969"
"Enchanted Forest XC","0","36.709702","-105.4091"
"Fahnestock Winter Park XC","0","41.424198","-73.67849"
"Fairmont Hot Springs","0","50.339050","-115.8265"
"Falcon Ridge","0","49.704403","-95.19119"
"Fernie Alpine Resort","1","49.504002","-115.0628"
"Five Fields Farm XC","0","44.055000","-70.70400"
"Four Lakes Village","0","41.780144","-88.08194"
"Four Seasons","0","43.035820","-75.97230"
"Franconia XC","0","44.226601","-71.74800"
"Garnet Hill Lodge XC","0","43.743801","-74.05660"
"Gatineau Park XC","0","45.504398","-75.78360"
"Giants Ridge","0","47.578754","-92.30375"
"Glacier Outdoor XC","0","48.369999","-114.1999"
"Glen Eden","0","43.508614","-79.94265"
"Gold Run XC","0","39.482201","-106.0472"
"Gore Mountain","1","43.672653","-74.00717"
"Grand Geneva","1","42.591702","-88.43609"
"Grand Targhee Resort","1","43.742401","-111.0652"
"Grand Targhee XC","0","43.789009","-110.9637"
"Granite Gorge","1","42.971451","-72.21276"
"Granite Gorge XC","0","42.974300","-72.29170"
"Granite Peak","0","44.929382","-89.68309"
"Great Divide","0","46.752800","-112.3122"
"Great Glen Trails XC","0","44.388302","-71.17420"
"Greek Peak","1","42.507919","-76.14254"
"Grouse Mountain","0","49.379292","-123.0830"
"Gunstock Mountain Resort","1","43.551796","-71.36009"
"Gunstock XC","0","43.548801","-71.40709"
"Hanson Hills","0","44.646126","-84.75360"
"Hardwood Ski XC","0","44.522999","-79.57160"
"Harris Farm XC","0","43.545399","-70.59349"
"Hazen's Notch XC","0","44.871498","-72.58660"
"Heavenly","1","38.936611","-119.9396"
"Hemlock Resort","0","49.379662","-121.9348"
"Hickory Hills","0","43.475704","-73.81782"
"Hidden Valley","0","45.357059","-79.13056"
"Hidden Valley","0","41.187489","-74.48070"
"Hidden Valley","0","40.061584","-79.25519"
"Hidden Valley","0","44.270050","-87.76024"
"High Point XC","0","41.240299","-74.60700"
"Highland Lodge XC","0","44.594700","-72.30049"
"Highland's XC","0","44.397800","-80.19460"
"Highlands of Olympia","0","43.087132","-88.47513"
"Hilltop Orchards XC","0","42.389999","-73.38999"
"Hockley Valley","0","43.917679","-80.10509"
"Hogadon","0","42.744774","-106.3381"
"Holiday Mountain","0","41.627056","-74.61193"
"Holiday Valley","1","42.262829","-78.67820"
"HoliMont","0","42.274387","-78.68828"
"Homewood Mountain Resort","1","39.063099","-120.2194"
"Hoodoo","0","44.408646","-121.8715"
"Horseshoe Resort","0","44.550983","-79.67398"
"Horseshoe Resort XC","0","44.390400","-79.68560"
"Huff Hills","0","46.626923","-100.7236"
"Hunter Mountain","1","42.205029","-74.20874"
"Hyland Ski &amp; Snowboard","0","44.844109","-93.36282"
"Indianhead","1","46.499989","-89.97098"
"Izaak Walton Inn XC","0","48.279099","-113.6073"
"Jack Frost","0","41.107296","-75.65228"
"Jackson Hole","1","43.588318","-110.8274"
"Jackson XC","0","44.146599","-71.18289"
"Jay Peak Resort","1","44.928837","-72.50170"
"Jiminy Peak","1","42.556477","-73.29132"
"June Mountain","1","37.767796","-119.0907"
