"name","is_partner","latitude","longitude"
"Whitewater Ski Resort","1","49.440620","-117.1404"
"Wild Mountain","1","45.476398","-92.69719"
"Wild Wings XC","0","43.221699","-72.89740"
"Wildcat Mountain","1","44.264626","-71.23672"
"Willamette Pass","0","43.599289","-122.0366"
"Willard Mountain","0","43.021530","-73.51596"
"Wilmot Mountain","0","42.501530","-88.18884"
"Windblown XC","0","42.758701","-71.85859"
"Windham Mountain","1","42.295597","-74.25994"
"Winding Trails XC","0","41.724998","-72.83210"
"Winter Park Resort","1","39.891563","-105.7642"
"Wintergreen Resort","1","37.921452","-78.94736"
"Winterplace","1","37.595940","-81.11824"
"Wisp","1","39.559349","-79.36253"
"Wolf Creek","0","37.472458","-106.7932"
"Wolf Creek Utah","0","41.309471","-111.8642"
"Wolf Ridge","0","35.955116","-82.50885"
"Woodbury","0","41.584572","-73.25093"
"Woods Valley","0","43.301773","-75.38260"
"Woodstock XC","0","43.628300","-72.53980"
"Yawgoo Valley","0","41.517590","-71.52723"
"Yosemite XC","0","37.652699","-119.0389"
